,object,n_pos,n_neg,succ_r
0,kit_BakingSoda,290,95,0.7532467532467533
1,kit_BathDetergent,94,226,0.29375
2,kit_BroccoliSoup,319,71,0.8179487179487179
3,kit_CoughDropsLemon,283,104,0.7312661498708011
4,kit_Curry,211,165,0.5611702127659575
5,kit_FizzyTabletsCalcium,135,182,0.42586750788643535
6,kit_InstantSauce,235,130,0.6438356164383562
7,kit_NutCandy,222,174,0.5606060606060606
8,kit_PotatoeDumplings,276,119,0.6987341772151898
9,kit_Sprayflask,183,171,0.5169491525423728
10,kit_TomatoSoup,245,142,0.6330749354005168
11,kit_YellowSaltCube2,174,187,0.481994459833795
