,object,n_pos,n_neg,succ_r
0,kit_BakingSoda,240,34,0.8759124087591241
1,kit_BathDetergent,97,79,0.5511363636363636
2,kit_BroccoliSoup,304,32,0.9047619047619048
3,kit_CoughDropsLemon,255,75,0.7727272727272727
4,kit_Curry,194,47,0.8049792531120332
5,kit_FizzyTabletsCalcium,101,31,0.7651515151515151
6,kit_InstantSauce,242,84,0.7423312883435583
7,kit_NutCandy,141,215,0.3960674157303371
8,kit_PotatoeDumplings,288,22,0.9290322580645162
9,kit_Sprayflask,110,28,0.7971014492753623
10,kit_TomatoSoup,192,98,0.6620689655172414
11,kit_YellowSaltCube2,183,102,0.6421052631578947
